ens_ID	hgnc_symbol
ENSG00000226903	LINC00354
ENSG00000224924	LINC00320
ENSG00000229520	LINC00404
ENSG00000215351	PPIAP1
ENSG00000224243	LINC00403
ENSG00000260102	LINC01070
ENSG00000260343	LINC01043
ENSG00000223626	LINC01044
ENSG00000232684	ATP11A-AS1
ENSG00000238265	LINC00317
ENSG00000236581	STARD13-AS
ENSG00000188403	IGHV1OR15-9
ENSG00000235280	MCF2L-AS1
ENSG00000231882	F10-AS1
ENSG00000230371	KARSP2
ENSG00000259490	IGHV3OR15-7
ENSG00000232662	LDHBP1
ENSG00000270961	IGHD5OR15-5A
ENSG00000225083	GRTP1-AS1
ENSG00000233613	DCUN1D2-AS
ENSG00000271317	IGHD4OR15-4A
ENSG00000202347	RNU1-16P
ENSG00000227208	LINC00552
ENSG00000270783	IGHD3OR15-3A
ENSG00000233695	GAS6-AS1
ENSG00000271197	IGHD2OR15-2A
ENSG00000272695	GAS6-AS2
ENSG00000184856	LINC00308
ENSG00000271336	IGHD1OR15-1A
ENSG00000265259	RN7SL247P
ENSG00000212051	MIR320C2
ENSG00000226921	LINC00454
ENSG00000252397	RNU5A-4P
ENSG00000227254	VDAC1P12
ENSG00000229373	LINC00452
ENSG00000215405	GOLGA6L6
ENSG00000225179	LINC00457
ENSG00000260910	LINC00565
ENSG00000202339	RNU4-45P
ENSG00000232487	RASA3-IT1
ENSG00000231910	GAMTP2
ENSG00000264539	MIR548AR
ENSG00000223488	MAPK6PS2
ENSG00000265450	MIR4502
ENSG00000232795	SCAND3P1
ENSG00000226158	CLCP2
ENSG00000234835	PHBP13
ENSG00000229723	LINC01054
ENSG00000236036	LINC00445
ENSG00000207203	RNU6-71P
ENSG00000169861	IGHV1OR21-1
ENSG00000223383	HIST1H2APS6
ENSG00000235306	GAPDHP34
ENSG00000223543	TCEAL4P1
ENSG00000215486	ARL2BPP3
ENSG00000230031	POTEB2
ENSG00000271337	NDE1P2
ENSG00000236711	SMAD9-AS1
ENSG00000228825	LAMTOR3P1
ENSG00000232378	RPL29P28
ENSG00000224259	LINC01133
ENSG00000164011	ZNF691
ENSG00000133055	MYBPH
ENSG00000244703	CD46P1
ENSG00000203817	FAM72C
ENSG00000199831	RN7SKP291
ENSG00000252162	RNU6-830P
ENSG00000215908	CROCCP2
ENSG00000198161	PPIAL4C
ENSG00000240194	CYMP
ENSG00000227104	PIGQP1
ENSG00000203709	C1orf132
ENSG00000203815	FAM231D
ENSG00000235082	SUMO1P3
ENSG00000201608	RNU4-42P
ENSG00000235101	SETP9
ENSG00000227887	RPS26P13
ENSG00000150337	FCGR1A
ENSG00000237415	NRBF2P3
ENSG00000236776	RPL21P23
ENSG00000186301	MST1P2
ENSG00000232791	OR11I1P
ENSG00000225672	CCNT2P1
ENSG00000133048	CHI3L1
ENSG00000252760	RNA5SP54
ENSG00000236040	CHIAP1
ENSG00000225712	ATP5G2P1
ENSG00000236888	RPS20P5
ENSG00000117394	SLC2A1
ENSG00000263548	MIR5187
ENSG00000203878	CHIAP2
ENSG00000236484	RRM2P2
ENSG00000226759	DAB1-AS1
ENSG00000230937	MIR205HG
ENSG00000206921	RNU6-481P
ENSG00000224203	RPS23P10
ENSG00000229887	HNRNPA1P6
ENSG00000234020	CHIAP3
ENSG00000223416	RPS26P15
ENSG00000225217	HSPA7
ENSG00000231586	RPS23P9
ENSG00000264128	RN7SL713P
ENSG00000207513	RNU1-3
ENSG00000236698	EIF1AXP1
ENSG00000234807	LINC01135
ENSG00000213075	RPL31P11
ENSG00000268869	ESPNP
ENSG00000203814	HIST2H2BF
ENSG00000264831	MIR4260
ENSG00000241347	RN7SL466P
ENSG00000228121	PHBP3
ENSG00000236012	HIGD1AP12
ENSG00000203706	SERTAD4-AS1
ENSG00000183598	HIST2H3D
ENSG00000266144	MIR4654
ENSG00000252262	RNA5SP61
ENSG00000207729	MIR556
ENSG00000131238	PPT1
ENSG00000227179	PGCP1
ENSG00000227243	SLAMF6P1
ENSG00000183941	HIST2H4A
ENSG00000227941	UQCRBP2
ENSG00000228110	ST13P19
ENSG00000207389	RNU1-4
ENSG00000243173	RN7SL861P
ENSG00000227684	CROCCP4
ENSG00000266150	MIR4711
ENSG00000200972	RNU5A-8P
ENSG00000224668	IPO8P1
ENSG00000186715	MST1L
ENSG00000265535	RN7SL475P
ENSG00000229332	PGBD4P8
ENSG00000234233	KCNH1-IT1
ENSG00000233337	UBE2FP3
ENSG00000153363	LINC00467
ENSG00000133063	CHIT1
ENSG00000200360	RNU6-792P
ENSG00000231346	LINC01160
ENSG00000203811	HIST2H3C
ENSG00000215867	KRT18P57
ENSG00000200575	RNU6-414P
ENSG00000212360	RNU6-1177P
ENSG00000201028	RNU6-151P
ENSG00000236646	LAMTOR5P1
ENSG00000236809	SNX25P1
ENSG00000227811	FAM212B-AS1
ENSG00000183558	HIST2H2AA3
ENSG00000238137	ARPC3P2
ENSG00000242860	RN7SL180P
ENSG00000263908	MIR3116-2
ENSG00000263908	MIR3116-1
ENSG00000234204	PIGPP2
ENSG00000200327	RNA5SP62
ENSG00000212527	RNA5SP63
ENSG00000263811	MIR3675
ENSG00000234088	RPS15AP7
ENSG00000232558	KCND3-IT1
ENSG00000090686	USP48
ENSG00000225719	NMNAT1P2
ENSG00000237556	KCND3-AS1
ENSG00000203812	HIST2H2AA4
ENSG00000186973	FAM183A
ENSG00000224763	FDPSP8
ENSG00000199849	RNU5F-6P
ENSG00000213070	HMGB3P6
ENSG00000201153	RNU6-371P
ENSG00000207082	RNU6-171P
ENSG00000207005	RNU1-2
ENSG00000203852	HIST2H3A
ENSG00000241395	RN7SL344P
ENSG00000171872	KLF17
ENSG00000234388	TXNP3
ENSG00000266634	MIR3972
ENSG00000256049	PADI6
ENSG00000201270	RNU6-755P
ENSG00000235299	MRPL53P1
ENSG00000252750	RNU7-70P
ENSG00000220749	RPL21P28
ENSG00000252259	RNA5SP49
ENSG00000264358	MIR3122
ENSG00000182217	HIST2H4B
ENSG00000224209	LINC00466
ENSG00000252879	RN7SKP98
ENSG00000201544	SNORA16B
ENSG00000229020	AKR7A2P1
ENSG00000226419	SLC16A1-AS1
ENSG00000117395	EBNA1BP2
ENSG00000184678	HIST2H2BE
ENSG00000264590	RN7SL512P
ENSG00000264271	RN7SL488P
ENSG00000251720	RNU7-123P
ENSG00000237278	RLIMP2
ENSG00000244256	RN7SL130P
ENSG00000228056	CFL1P3
ENSG00000207491	RNU6-423P
ENSG00000159388	BTG2
ENSG00000132780	NASP
ENSG00000184260	HIST2H2AC
ENSG00000207190	RNU6-809P
ENSG00000198468	FLVCR1-AS1
ENSG00000178028	DMAP1
ENSG00000184270	HIST2H2AB
ENSG00000238653	RNU7-62P
ENSG00000264470	MIR4794
ENSG00000265606	MIR4695
ENSG00000221662	MIR1290
ENSG00000228646	RPL31P13
ENSG00000122176	FMOD
ENSG00000207341	RNA5SP64
ENSG00000238256	MTND5P20
ENSG00000140577	CRTC3
ENSG00000267797	NRBF2P1
ENSG00000207797	MIR187
ENSG00000265641	MIR3929
ENSG00000166140	ZFYVE19
ENSG00000101138	CSTF1
ENSG00000154645	CHODL
ENSG00000266530	MIR4318
ENSG00000222704	RN7SKP182
ENSG00000253038	RNU6-706P
ENSG00000267374	LINC00669
ENSG00000199605	RNY4P24
ENSG00000235660	LINC00345
ENSG00000180305	WFDC10A
ENSG00000175886	RPL7AP66
ENSG00000266148	MIR5583-1
ENSG00000200407	RNU6-1169P
ENSG00000068793	CYFIP1
ENSG00000259838	TCEB1P2
ENSG00000212354	RNU6-1242P
ENSG00000180083	WFDC11
ENSG00000198384	TPTE2P3
ENSG00000207766	MIR626
ENSG00000267664	RPL17P45
ENSG00000238333	RNU7-145P
ENSG00000182931	WFDC10B
ENSG00000154646	TMPRSS15
ENSG00000200293	RNA5SP393
ENSG00000264850	MIR4310
ENSG00000168634	WFDC13
ENSG00000221476	MIR1827
ENSG00000149651	SPINT4
ENSG00000267586	LINC00907
ENSG00000101365	IDH3B
ENSG00000250299	MRPS31P4
ENSG00000167216	KATNAL2
ENSG00000124116	WFDC3
ENSG00000211579	MIR759
ENSG00000150276	PPIAP26
ENSG00000237092	LINC01065
ENSG00000225510	PCDH8P1
ENSG00000087589	CASS4
ENSG00000241613	RN7SL618P
ENSG00000213307	RPL18P11
ENSG00000261517	LINC00558
ENSG00000234787	LINC00458
ENSG00000243711	RPL21P116
ENSG00000252061	RNU6-415P
ENSG00000207712	MIR627
ENSG00000136149	RPL13AP25
ENSG00000154654	NCAM2
ENSG00000264387	MIR5007
ENSG00000228611	HNF4GP1
ENSG00000228319	SPATA2P1
ENSG00000226935	LINC00161
ENSG00000201665	RN7SKP6
ENSG00000271140	PRR20FP
ENSG00000251894	RNU6-872P
ENSG00000230009	MTCO2P3
ENSG00000215005	HSPD1P7
ENSG00000166143	PPP1R14D
ENSG00000234421	SLC25A5P4
ENSG00000215317	THUMPD1P1
ENSG00000176054	RPL23P2
ENSG00000207695	MIR184
ENSG00000259419	HNRNPCP3
ENSG00000225352	RPL31P53
ENSG00000202422	RNA5SP30
ENSG00000232954	LINC00374
ENSG00000232687	RPL12P9
ENSG00000222733	RNY4P29
ENSG00000214335	CTAGE16P
ENSG00000223717	DNAJA1P1
ENSG00000214281	HMGN2P39
ENSG00000166262	FAM227B
ENSG00000232647	POLR3KP1
ENSG00000215533	LINC00189
ENSG00000271190	RPP40P2
ENSG00000239003	RNU7-88P
ENSG00000227528	DIAPH3-AS1
ENSG00000265745	RN7SL375P
ENSG00000223815	DIAPH3-AS2
ENSG00000176136	MC5R
ENSG00000202151	RNY4P28
ENSG00000227336	LINC00434
ENSG00000265329	MIR4758
ENSG00000238213	TARDBPP2
ENSG00000223076	RNA5SP31
ENSG00000236608	EIF4A1P6
ENSG00000229207	SERPINH1P1
ENSG00000225249	LINC00378
ENSG00000185231	MC2R
ENSG00000251697	RN7SKP24
ENSG00000206854	RNY3P5
ENSG00000103642	LACTB
ENSG00000253018	RNY4P31
ENSG00000266663	MIR3169
ENSG00000236056	GAPDHP14
ENSG00000234033	RAC1P8
ENSG00000174403	C20orf166-AS1
ENSG00000237159	CNTFR-AS1
ENSG00000248476	BACH1-IT1
ENSG00000229578	LINC00358
ENSG00000197299	BLM
ENSG00000199017	MIR1-1
ENSG00000230142	LINC01075
ENSG00000207764	MIR133A2
ENSG00000226094	RPL7P3
ENSG00000227611	LINC01074
ENSG00000253040	RNA5SP454
ENSG00000202250	RNU6-443P
ENSG00000229307	LINC00459
ENSG00000154719	MRPL39
ENSG00000257198	FAM205B
ENSG00000232105	RPL32P28
ENSG00000202060	RNA5SP455
ENSG00000267573	KRT8P5
ENSG00000271465	SQSTM1P1
ENSG00000228669	LINC00448
ENSG00000227564	LINC00376
ENSG00000187791	FAM205CP
ENSG00000265957	MIR4319
ENSG00000175322	ZNF519
ENSG00000231061	LINC00395
ENSG00000237687	LINC00686
ENSG00000215430	OR7E156P
ENSG00000101160	CTSZ
ENSG00000228705	LINC00659
ENSG00000178723	GLULP4
ENSG00000202478	RNU6-81P
ENSG00000229873	OGFR-AS1
ENSG00000022277	RTFDC1
ENSG00000213232	PPP1R2P10
ENSG00000215199	YWHAZP6
ENSG00000233838	DPH3P1
ENSG00000233148	SYF2P2
ENSG00000241568	RN7SL338P
ENSG00000236527	ARF4P2
ENSG00000232118	BACH1-AS1
ENSG00000215432	OR7E104P
ENSG00000228817	BACH1-IT2
ENSG00000237849	NFYAP1
ENSG00000234293	BACH1-IT3
ENSG00000252995	RNU6-667P
ENSG00000166145	SPINT1
ENSG00000227674	LINC00355
ENSG00000125514	LINC00029
ENSG00000214269	LGMNP1
ENSG00000222179	RN7SKP26
ENSG00000174680	GRIK1-AS1
ENSG00000237119	LINC01056
ENSG00000214266	STARP1
ENSG00000251939	RNU6-1278P
ENSG00000231133	HAR1B
ENSG00000179766	ATP8B5P
ENSG00000227342	LINC00307
ENSG00000236565	HNRNPA3P5
ENSG00000225978	HAR1A
ENSG00000225267	RPL8P2
ENSG00000234767	LINC01052
ENSG00000263581	MIR548X2
ENSG00000263561	MIR4704
ENSG00000207598	MIR124-3
ENSG00000235737	TRIM60P19
ENSG00000088881	EBF4
ENSG00000266463	MIR3196
ENSG00000259361	LINC00927
ENSG00000234527	PCDH9-AS1
ENSG00000266104	MIR4326
ENSG00000238500	RNU7-87P
ENSG00000222439	RNU6-994P
ENSG00000228842	PCDH9-AS2
ENSG00000244213	ZFAND6P1
ENSG00000225263	PCDH9-AS3
ENSG00000235619	RPL36AP33
ENSG00000233840	PCDH9-AS4
ENSG00000214263	RPSAP53
ENSG00000263892	MIR4667
ENSG00000201077	RNU6-188P
ENSG00000230040	LINC00364
ENSG00000101162	TUBB1
ENSG00000271287	BCRP9
ENSG00000269900	RMRP
ENSG00000227969	NPM1P22
ENSG00000140285	FGF7
ENSG00000231667	OR7E111P
ENSG00000243136	RN7SL22P
ENSG00000226537	OR7E33P
ENSG00000260282	EIF4EBP2P2
ENSG00000183206	POTEC
ENSG00000234765	ELL2P3
ENSG00000199805	RNU1-134P
ENSG00000216141	MIR941-2
ENSG00000229910	HNRNPA1P18
ENSG00000216195	MIR941-3
ENSG00000236083	OR13E1P
ENSG00000101457	DNTTIP1
ENSG00000215946	MIR941-1
ENSG00000260799	KRT8P50
ENSG00000233659	NDUFA5P4
ENSG00000266996	TCEB3CL2
ENSG00000236433	RPL37P21
ENSG00000272045	MIR1914
ENSG00000254793	FDPSP4
ENSG00000154721	JAM2
ENSG00000235387	LINC00961
ENSG00000207554	MIR647
ENSG00000230405	RPS3AP52
ENSG00000205871	RPS3AP47
ENSG00000230750	SDAD1P2
ENSG00000229824	RPL12P34
ENSG00000260928	SPCS2P1
ENSG00000196421	LINC00176
ENSG00000225639	PGAM1P2
ENSG00000124172	ATP5E
ENSG00000234298	TCEB3CL
ENSG00000243671	RN7SL761P
ENSG00000201825	RNU6-1131P
ENSG00000232380	ZDHHC20P4
ENSG00000213866	YBX1P10
ENSG00000225501	SNRPFP3
ENSG00000261679	ATP5HP1
ENSG00000185088	RPS27L
ENSG00000237534	LINC00383
ENSG00000179443	OR13C6P
ENSG00000232852	CICP4
ENSG00000235221	LINC00401
ENSG00000243871	RN7SL487P
ENSG00000266582	MIR4527
ENSG00000183791	TCEB3C
ENSG00000222398	RNU6-554P
ENSG00000224640	SRSF1P1
ENSG00000206991	RNU6-610P
ENSG00000149656	LINC00266-1
ENSG00000228307	OR2S1P
ENSG00000224677	PDIA3P2
ENSG00000207495	RNY3P10
ENSG00000267156	TPMTP1
ENSG00000232314	PSMC1P13
ENSG00000236110	OR2AM1P
ENSG00000266542	MIR5572
ENSG00000222139	RNU6-380P
ENSG00000222760	RNU4-53P
ENSG00000230223	ATXN8OS
ENSG00000217809	FAT1P1
ENSG00000215283	HMGB3P24
ENSG00000208003	MIR549
ENSG00000206181	TCEB3B
ENSG00000206944	RNU6-708P
ENSG00000202433	RNU6-54P
ENSG00000250973	KRTAP13-6P
ENSG00000266255	MIR4475
ENSG00000253033	RNU7-191P
ENSG00000226554	SOGA2P1
ENSG00000265007	MIR4327
ENSG00000170122	FOXD4
ENSG00000200872	RNA5SP456
ENSG00000226846	LINC00348
ENSG00000233640	KRTAP13-5P
ENSG00000264922	MIR4540
ENSG00000266276	MIR4743
ENSG00000265368	MIR4476
ENSG00000225801	RABEPKP1
ENSG00000237841	KRTAP19-9P
ENSG00000265855	MIR4514
ENSG00000235544	RPS11P1
ENSG00000236534	H3F3BP1
ENSG00000235312	KRTAP19-10P
ENSG00000259461	ANP32BP3
ENSG00000237816	RPL21P109
ENSG00000236612	KRTAP19-11P
ENSG00000237256	PGAM3P
ENSG00000233460	RPL35AP31
ENSG00000228422	LINC00687
ENSG00000236400	KRTAP21-4P
ENSG00000232881	RPS10P21
ENSG00000233036	KRTAP8-2P
ENSG00000200037	RNA5SP32
ENSG00000222281	RN7SKP111
ENSG00000227840	KRTAP8-3P
ENSG00000166128	RAB8B
ENSG00000227952	RPL18AP17
ENSG00000184586	KRTAP7-1
ENSG00000226617	RPL21P110
ENSG00000228941	UBE3AP2
ENSG00000237306	HSPE1P22
ENSG00000235698	PA2G4P2
ENSG00000206922	RNU6-80P
ENSG00000175063	UBE2C
ENSG00000199381	RNU6-79P
ENSG00000232041	PSMD10P3
ENSG00000230870	FBXW11P1
ENSG00000124091	GCNT7
ENSG00000236972	FABP5P1
ENSG00000101166	SLMO2
ENSG00000200267	RNU6-66P
ENSG00000236156	CHCHD4P3
ENSG00000226263	ISM1-AS1
ENSG00000264255	RN7SL463P
ENSG00000201253	RNU4-10P
ENSG00000166763	STRCP1
ENSG00000167220	HDHD2
ENSG00000206697	RNY1P8
ENSG00000229708	MARK2P12
ENSG00000236811	GAPDHP2
ENSG00000224853	LINC00393
ENSG00000212247	RNU6-278P
ENSG00000154723	ATP5J
ENSG00000230935	RPS3P1
ENSG00000228295	LINC00392
ENSG00000234187	AIMP1P1
ENSG00000235532	LINC00402
ENSG00000239923	RN7SL864P
ENSG00000233111	RAB1C
ENSG00000206617	RNY1P5
ENSG00000199570	RNU6-228P
ENSG00000171448	ZBTB26
ENSG00000232701	RPL21P108
ENSG00000201287	RN7SKP171
ENSG00000124103	FAM209A
ENSG00000227927	MACROD2-IT1
ENSG00000226240	LINC00381
ENSG00000104047	DTWD1
ENSG00000226055	PAICSP1
ENSG00000213950	RPS10P2
ENSG00000088882	CPXM1
ENSG00000235914	MACROD2-AS1
ENSG00000236678	LINC00347
ENSG00000251745	RNU7-124P
ENSG00000213714	FAM209B
ENSG00000227321	MTND4P15
ENSG00000199803	RNU6-1159P
ENSG00000201180	RNU6-115P
ENSG00000201136	RNU6-353P
ENSG00000222500	RNA5SP475
ENSG00000225944	RIOK3P1
ENSG00000224274	ENSAP1
ENSG00000212170	RNU1-77P
ENSG00000206812	RNU6-38P
ENSG00000225622	PPIAP17
ENSG00000226665	SSR1P2
ENSG00000205771	CATSPER2P1
ENSG00000237487	VN1R48P
ENSG00000104140	RHOV
ENSG00000226229	RPLP0P1
ENSG00000214249	CTAGE11P
ENSG00000176007	FAM220BP
ENSG00000223880	LINC01078
ENSG00000259785	ADAMTS7P1
ENSG00000140564	FURIN
ENSG00000225203	TBC1D4-AS1
ENSG00000140157	NIPA2
ENSG00000259898	CYP4F33P
ENSG00000251955	RNU6-27P
ENSG00000238833	RNU1-131P
ENSG00000225345	SNX18P3
ENSG00000232241	DYNLT3P1
ENSG00000232333	RPS27AP2
ENSG00000204860	FAM201A
ENSG00000230902	FAM204CP
ENSG00000263849	MIR4744
ENSG00000202260	RN7SKP69
ENSG00000261206	LINC00561
ENSG00000154727	GABPA
ENSG00000224933	LINC01034
ENSG00000212555	RNU6-192P
ENSG00000252725	RNU6-765P
ENSG00000243274	RN7SL571P
ENSG00000087510	TFAP2C
ENSG00000212232	SNORD17
ENSG00000118903	BTF3P11
ENSG00000218902	PTMAP3
ENSG00000234680	VN2R3P
ENSG00000233873	RPL7P44
ENSG00000265496	MIR1539
ENSG00000202093	SNORD58C
ENSG00000227343	RPL15P1
ENSG00000124203	ZNF831
ENSG00000228002	DHX9P1
ENSG00000206602	SNORD58A
ENSG00000101470	TNNC2
ENSG00000104142	VPS18
ENSG00000271982	SNORD58B
ENSG00000265182	SRP72P1
ENSG00000138613	APH1B
ENSG00000206589	RNU6-354P
ENSG00000264912	RN7SL640P
ENSG00000236051	MYCBP2-AS1
ENSG00000221792	MIR1282
ENSG00000252597	RNU7-137P
ENSG00000229046	HMGN1P2
ENSG00000215112	FAM74A5
ENSG00000267444	SMUG1P1
ENSG00000227973	PIN4P1
ENSG00000234107	TPT1P1
ENSG00000185607	ACTBP7
ENSG00000229521	MYCBP2-AS2
ENSG00000266720	RN7SL14P
ENSG00000011454	RABGAP1
ENSG00000252635	RNU2-56P
ENSG00000224347	SCEL-AS1
ENSG00000199719	RN7SKP74
ENSG00000224055	GAPDHP55
ENSG00000134049	IER3IP1
ENSG00000251992	SCARNA17
ENSG00000206800	RNY3P7
ENSG00000227922	SPTLC1P5
ENSG00000266325	MIR3665
ENSG00000200527	RNA5SP457
ENSG00000252403	RNY4P11
ENSG00000225579	EDNRB-AS1
ENSG00000237282	LINC00851
ENSG00000267511	ADAD1P2
ENSG00000236474	GCNT1P1
ENSG00000240663	RN7SL310P
ENSG00000252422	RNA5SP476
ENSG00000265137	MIR3192
ENSG00000251997	RNA5SP458
ENSG00000225511	LINC00475
ENSG00000225995	ATP5A1P9
ENSG00000225419	RPL21P3
ENSG00000239780	RPLP0P11
ENSG00000124205	EDN3
ENSG00000128917	DLL4
ENSG00000266087	RN7SL462P
ENSG00000214612	RPS19P1
ENSG00000234377	RNF219-AS1
ENSG00000232388	LINC00493
ENSG00000198326	TMEM239
ENSG00000225597	FAM74A1
ENSG00000243702	RN7SL638P
ENSG00000221806	RNU6ATAC34P
ENSG00000232136	DUXAP7
ENSG00000234375	VN2R4P
ENSG00000243035	RN7SL810P
ENSG00000236133	LINC01069
ENSG00000233324	EEF1A1P34
ENSG00000229249	LINC00446
ENSG00000180777	ANKRD30B
ENSG00000225273	UBE2Q2P2
ENSG00000101144	BMP7
ENSG00000271386	SRGNP1
ENSG00000179935	LINC00652
ENSG00000215474	SKOR2
ENSG00000258713	C20orf141
ENSG00000200686	RNY3P3
ENSG00000229865	RPL31P54
ENSG00000224686	TCEB1P23
ENSG00000233628	VN2R5P
ENSG00000237550	UBE2Q2P6
ENSG00000188394	GPR21
ENSG00000237109	RPL21P111
ENSG00000172785	CBWD1
ENSG00000224809	BEND3P2
ENSG00000225427	LINC00331
ENSG00000188384	CSPG4P8
ENSG00000239183	SNORA84
ENSG00000265605	RN7SL422P
ENSG00000215357	HSPD1P8
ENSG00000204844	FAM74A3
ENSG00000230584	CCT5P2
ENSG00000014914	MTMR11
ENSG00000229683	ASNSP5
ENSG00000232745	ANKRD20A14P
ENSG00000143842	SOX13
ENSG00000266174	MIR4666A
ENSG00000181201	HIST3H2BA
ENSG00000122432	SPATA1
ENSG00000215811	BTNL10
ENSG00000202056	RNA5SP19
ENSG00000199352	RNA5S1
ENSG00000201588	RNA5S2
ENSG00000186056	MATN1-AS1
ENSG00000199337	RNA5S3
ENSG00000200381	RNA5S4
ENSG00000199396	RNA5S5
ENSG00000200624	RNA5S6
ENSG00000202521	RNA5S7
ENSG00000264773	MIR4420
ENSG00000200343	RNA5S8
ENSG00000265661	MIR3118-2
ENSG00000201321	RNA5S9
ENSG00000199910	RNA5S10
ENSG00000199334	RNA5S11
ENSG00000199270	RNA5S12
ENSG00000202526	RNA5S13
ENSG00000222784	RN7SKP91
ENSG00000201355	RNA5S14
ENSG00000201925	RNA5S15
ENSG00000200154	SNORD103A
ENSG00000202257	RNA5S16
ENSG00000202107	SNORD103B
ENSG00000200181	SNORD85
ENSG00000200370	RNA5S17
ENSG00000212237	RNA5SP18
ENSG00000183929	DUSP5P1
ENSG00000215900	SEPW1P
ENSG00000234975	FTH1P2
