Gene stable ID	Gene type	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSG00000231353	pseudogene	1	16314677	16314936
ENSG00000224698	lincRNA	1	108963311	108975806
ENSG00000236360	pseudogene	1	53458868	53459374
ENSG00000224966	pseudogene	1	16316366	16321246
ENSG00000227832	pseudogene	1	109044980	109046077
ENSG00000253097	snRNA	1	205535844	205535927
ENSG00000226147	pseudogene	1	53460398	53461698
ENSG00000229724	pseudogene	1	158765804	158766003
ENSG00000206762	snRNA	1	205564169	205564275
ENSG00000236942	pseudogene	1	205594611	205595281
ENSG00000226483	pseudogene	1	109051196	109051865
ENSG00000232971	antisense	1	109276878	109277347
ENSG00000180409	pseudogene	1	158778189	158779125
ENSG00000232993	antisense	1	53535610	53551174
ENSG00000228076	pseudogene	1	109309463	109310206
ENSG00000201944	snoRNA	1	205700349	205700480
ENSG00000227644	pseudogene	1	53538782	53539061
ENSG00000233078	antisense	1	16332655	16333166
ENSG00000227687	antisense	1	205904256	205904896
ENSG00000203897	antisense	1	109399839	109401146
ENSG00000229849	pseudogene	1	158848536	158853290
ENSG00000235563	antisense	1	53580248	53584281
ENSG00000229874	antisense	1	206135293	206137984
ENSG00000232456	pseudogene	1	16361673	16366524
ENSG00000236723	antisense	1	53676128	53679447
ENSG00000259818	antisense	1	53686335	53689925
ENSG00000227959	antisense	1	16481706	16483824
ENSG00000258664	protein_coding	1	179833916	179834311
ENSG00000236889	lincRNA	1	206164084	206166270
ENSG00000226754	antisense	1	53704282	53708455
ENSG00000265589	miRNA	1	159029039	159029116
ENSG00000196517	protein_coding	1	44457172	44497139
ENSG00000233473	pseudogene	1	159050923	159051585
ENSG00000164010	protein_coding	1	43282795	43310660
ENSG00000222552	rRNA	1	159148263	159148349
ENSG00000225483	pseudogene	1	206180054	206180443
ENSG00000224621	antisense	1	16485761	16488378
ENSG00000225670	antisense	1	159165775	159177763
ENSG00000270172	lincRNA	1	53708036	53710212
ENSG00000234166	antisense	1	16524349	16524852
ENSG00000226780	antisense	1	206214526	206223548
ENSG00000237349	pseudogene	1	109529585	109529867
ENSG00000234578	antisense	1	53733607	53734273
ENSG00000252692	snoRNA	1	206261008	206261093
ENSG00000237276	pseudogene	1	16542404	16554522
ENSG00000228838	antisense	1	53753696	53755378
ENSG00000244716	pseudogene	1	109534878	109535489
ENSG00000240754	lincRNA	1	206288156	206306131
ENSG00000225030	sense_intronic	1	53757463	53757810
ENSG00000215846	pseudogene	1	159246293	159247282
ENSG00000232762	antisense	1	53770208	53773134
ENSG00000229509	pseudogene	1	206506678	206506789
ENSG00000228665	pseudogene	1	109572689	109572941
ENSG00000225675	lincRNA	1	53793905	53802181
ENSG00000233501	antisense	1	206552219	206554954
ENSG00000226938	lincRNA	1	53814160	53814905
ENSG00000228054	pseudogene	1	109589450	109590104
ENSG00000261000	antisense	1	206677281	206677789
ENSG00000230138	lincRNA	1	53832340	53833917
ENSG00000234981	pseudogene	1	206702248	206703039
ENSG00000273382	antisense	1	109630593	109633480
ENSG00000248642	pseudogene	1	159248831	159249791
ENSG00000270066	lincRNA	1	109642815	109643241
ENSG00000237605	antisense	1	206807994	206808967
ENSG00000251484	pseudogene	1	109646157	109647388
ENSG00000252853	snoRNA	1	206855308	206855380
ENSG00000236253	pseudogene	1	53878821	53905693
ENSG00000233929	pseudogene	1	16567708	16567893
ENSG00000238310	snRNA	1	109750416	109750470
ENSG00000203827	protein_coding	1	148739443	148758311
ENSG00000224114	pseudogene	1	206869182	206869614
ENSG00000254942	antisense	1	110082528	110086459
ENSG00000228560	antisense	1	159315956	159438858
ENSG00000206832	snRNA	1	110134156	110134262
ENSG00000199349	misc_RNA	1	206921325	206921437
ENSG00000248442	pseudogene	1	159320883	159321816
ENSG00000225113	antisense	1	110138847	110140403
ENSG00000271680	pseudogene	1	207079273	207079738
ENSG00000207709	miRNA	1	110141515	110141589
ENSG00000226457	pseudogene	1	16695645	16696025
ENSG00000226945	pseudogene	1	207080964	207081574
ENSG00000228703	antisense	1	110171039	110172927
ENSG00000235045	pseudogene	1	110193992	110194721
ENSG00000238401	snoRNA	1	207212039	207212145
ENSG00000226565	pseudogene	1	207323522	207323626
ENSG00000239007	snRNA	1	54154422	54154485
ENSG00000122180	protein_coding	1	203052260	203055164
ENSG00000201003	snoRNA	1	54236691	54236826
ENSG00000251686	pseudogene	1	159335951	159336879
ENSG00000264454	miRNA	1	54294465	54294534
ENSG00000260246	antisense	1	110235739	110236364
ENSG00000224462	pseudogene	1	207338841	207357255
ENSG00000226029	lincRNA	1	16787443	16794976
ENSG00000229687	pseudogene	1	54307220	54307505
ENSG00000241720	antisense	1	110268442	110317874
ENSG00000117448	protein_coding	1	46016215	46035721
ENSG00000219102	pseudogene	1	54440642	54441704
ENSG00000224927	pseudogene	1	110353264	110353620
ENSG00000197015	pseudogene	1	54481327	54481616
ENSG00000080947	pseudogene	1	16793931	16825752
ENSG00000272091	lincRNA	1	54492356	54494172
ENSG00000203276	pseudogene	1	54498816	54500553
ENSG00000228420	lincRNA	1	110370977	110414058
ENSG00000264208	miRNA	1	54519752	54519827
ENSG00000225183	pseudogene	1	54555529	54555766
ENSG00000235005	antisense	1	110426798	110428886
ENSG00000261055	lincRNA	1	110438595	110440483
ENSG00000237611	pseudogene	1	54565641	54565897
ENSG00000258634	antisense	1	110600962	110605177
ENSG00000249197	pseudogene	1	159375213	159376199
ENSG00000225632	antisense	1	54751078	54753044
ENSG00000232245	lincRNA	1	54881929	54886533
ENSG00000258673	antisense	1	110625310	110652341
ENSG00000265404	miRNA	1	54970341	54970443
ENSG00000235741	lincRNA	1	54982085	54982932
ENSG00000237173	pseudogene	1	54990497	54990604
ENSG00000252646	snoRNA	1	54991059	54991126
ENSG00000227091	antisense	1	110708808	110715111
ENSG00000227453	pseudogene	1	55002469	55003431
ENSG00000224943	lincRNA	1	159436111	159453166
ENSG00000230728	sense_overlapping	1	55087150	55094111
ENSG00000231100	pseudogene	1	159527158	159527990
ENSG00000163485	protein_coding	1	203059782	203136533
ENSG00000235526	antisense	1	110720265	110721341
ENSG00000237453	antisense	1	55258558	55260578
ENSG00000224965	antisense	1	110751456	110752609
ENSG00000242396	antisense	1	55352548	55353674
ENSG00000200536	snoRNA	1	110815106	110815229
ENSG00000271890	pseudogene	1	159551410	159552438
ENSG00000158731	pseudogene	1	159568088	159569017
ENSG00000227963	antisense	1	110828997	110881793
ENSG00000233203	antisense	1	55353236	55354523
ENSG00000243636	lincRNA	1	207352641	207357407
ENSG00000273373	antisense	1	110912776	110915625
ENSG00000223603	pseudogene	1	159674773	159675397
ENSG00000233271	antisense	1	55446623	55457947
ENSG00000232621	pseudogene	1	207399143	207402547
ENSG00000231090	lincRNA	1	55683534	55699850
ENSG00000231095	pseudogene	1	55688052	55689045
ENSG00000224699	antisense	1	110925441	110974982
ENSG00000235226	pseudogene	1	159728960	159729379
ENSG00000203818	protein_coding	1	149400131	149400542
ENSG00000265822	miRNA	1	55691314	55691396
ENSG00000212161	snoRNA	1	159821696	159821762
ENSG00000206652	snRNA	1	16840617	16840780
ENSG00000272668	antisense	1	159836744	159837475
ENSG00000231900	pseudogene	1	55833139	55834447
ENSG00000261135	lincRNA	1	16841140	16842249
ENSG00000266458	miRNA	1	159869769	159869869
ENSG00000224174	lincRNA	1	16847189	16848291
ENSG00000116691	protein_coding	1	12079523	12092102
ENSG00000202461	misc_RNA	1	12084069	12084181
ENSG00000243539	misc_RNA	1	12096799	12097071
ENSG00000120949	protein_coding	1	12123434	12204264
ENSG00000201135	snRNA	1	12137938	12138041
ENSG00000227875	pseudogene	1	12140350	12140604
ENSG00000028137	protein_coding	1	12227060	12269285
ENSG00000263676	miRNA	1	12251770	12251830
ENSG00000225196	pseudogene	1	12280851	12281166
ENSG00000252969	snoRNA	1	12281205	12281328
ENSG00000048707	protein_coding	1	12290124	12572099
ENSG00000239149	snoRNA	1	12567300	12567451
ENSG00000229484	lincRNA	1	12587766	12588462
ENSG00000162496	protein_coding	1	12627939	12677737
ENSG00000221340	snRNA	1	12630000	12630100
ENSG00000272482	lincRNA	1	12678906	12679250
ENSG00000204518	protein_coding	1	12704566	12727097
ENSG00000226166	pseudogene	1	12752925	12753036
ENSG00000188984	protein_coding	1	12776118	12788726
ENSG00000238771	snoRNA	1	12799693	12799796
ENSG00000157330	protein_coding	1	12806163	12823847
ENSG00000116726	protein_coding	1	12834984	12838049
ENSG00000116721	protein_coding	1	12851546	12856777
ENSG00000228338	lincRNA	1	12882549	12883022
ENSG00000204513	protein_coding	1	12884468	12891264
ENSG00000231103	pseudogene	1	12897978	12901210
ENSG00000179172	protein_coding	1	12907261	12908578
ENSG00000120952	protein_coding	1	12916941	12921764
ENSG00000243073	protein_coding	1	12939045	12946025
ENSG00000187545	protein_coding	1	12952727	12958101
ENSG00000204510	protein_coding	1	12976450	12980569
ENSG00000207434	snRNA	1	12982374	12982480
ENSG00000234064	pseudogene	1	12985990	12988081
ENSG00000232423	protein_coding	1	12998181	13117751
ENSG00000250894	pseudogene	1	13012966	13015755
ENSG00000204508	protein_coding	1	13035543	13038381
ENSG00000239810	protein_coding	1	13052394	13052998
ENSG00000270601	pseudogene	1	13108842	13112679
ENSG00000250113	pseudogene	1	13123246	13126086
ENSG00000204505	pseudogene	1	13140456	13145000
ENSG00000233336	lincRNA	1	13146777	13147256
ENSG00000229978	pseudogene	1	13162645	13165443
ENSG00000236179	pseudogene	1	13171871	13173157
ENSG00000179412	pseudogene	1	13182960	13184326
ENSG00000224199	pseudogene	1	13196270	13199067
ENSG00000229571	protein_coding	1	13216356	13219581
ENSG00000204503	protein_coding	1	13328196	13331692
ENSG00000233394	pseudogene	1	13351482	13354323
ENSG00000204502	protein_coding	1	13359819	13369057
ENSG00000231219	pseudogene	1	13379149	13381237
ENSG00000207511	snRNA	1	13384735	13384841
ENSG00000182330	protein_coding	1	13386646	13390765
ENSG00000237700	pseudogene	1	13411551	13414482
ENSG00000204501	protein_coding	1	13421176	13428191
ENSG00000228229	lincRNA	1	13429634	13430113
ENSG00000204495	protein_coding	1	13447414	13452656
ENSG00000204491	protein_coding	1	13474689	13477522
ENSG00000204488	protein_coding	1	13495254	13498260
ENSG00000204486	protein_coding	1	13516066	13526943
ENSG00000204485	pseudogene	1	13607431	13611550
ENSG00000224581	pseudogene	1	13632348	13635279
ENSG00000157358	protein_coding	1	13641973	13648988
ENSG00000204481	protein_coding	1	13668269	13673511
ENSG00000204480	protein_coding	1	13694889	13698405
ENSG00000204479	protein_coding	1	13716092	13719089
ENSG00000204478	protein_coding	1	13736907	13747803
ENSG00000162494	protein_coding	1	13801445	13840543
ENSG00000259961	antisense	1	13839715	13842765
ENSG00000215909	pseudogene	1	13881496	13882189
ENSG00000162493	protein_coding	1	13909960	13944452
ENSG00000222952	rRNA	1	13949679	13949779
ENSG00000266358	miRNA	1	13950397	13950497
ENSG00000237445	lincRNA	1	13983806	13986405
ENSG00000253085	snoRNA	1	14022565	14022694
ENSG00000116731	protein_coding	1	14026693	14151574
ENSG00000252151	snRNA	1	14450728	14450830
ENSG00000231606	lincRNA	1	14548386	14549613
ENSG00000234593	lincRNA	1	14675450	14677518
ENSG00000189337	protein_coding	1	14925200	15444539
ENSG00000235829	pseudogene	1	15018625	15019109
ENSG00000175147	processed_transcript	1	15442448	15478960
ENSG00000171729	protein_coding	1	15479028	15546976
ENSG00000204464	protein_coding	1	15490840	15497813
ENSG00000215720	pseudogene	1	15518324	15519341
ENSG00000142621	protein_coding	1	15573768	15726779
ENSG00000233485	antisense	1	15653176	15670372
ENSG00000236045	antisense	1	15660662	15661960
ENSG00000228140	lincRNA	1	15729475	15735929
ENSG00000142634	protein_coding	1	15736391	15756839
ENSG00000162438	protein_coding	1	15764935	15775737
ENSG00000142615	protein_coding	1	15783223	15798586
ENSG00000215704	protein_coding	1	15792404	15817895
ENSG00000132906	protein_coding	1	15817327	15853029
ENSG00000116138	protein_coding	1	15853308	15918874
ENSG00000251866	snoRNA	1	15868660	15868799
ENSG00000272510	antisense	1	15892106	15892451
ENSG00000116771	protein_coding	1	15898848	15911605
ENSG00000237301	antisense	1	15912631	15930121
ENSG00000235084	pseudogene	1	15931077	15931538
ENSG00000252417	snRNA	1	15934573	15934640
ENSG00000236500	pseudogene	1	15941138	15941362
ENSG00000197312	protein_coding	1	15943995	15995539
ENSG00000215695	protein_coding	1	15986364	15988217
ENSG00000271742	lincRNA	1	16009368	16009623
ENSG00000116786	protein_coding	1	16010827	16061264
ENSG00000264048	miRNA	1	16010967	16011053
ENSG00000237938	antisense	1	16049214	16063391
ENSG00000162461	protein_coding	1	16062900	16067891
ENSG00000224459	antisense	1	16066546	16076391
ENSG00000162460	protein_coding	1	16068917	16074477
ENSG00000162458	protein_coding	1	16083102	16113089
ENSG00000224321	pseudogene	1	16119291	16119780
ENSG00000233954	pseudogene	1	16133679	16134194
ENSG00000178715	pseudogene	1	16154724	16155167
ENSG00000179743	antisense	1	16160560	16174642
ENSG00000065526	protein_coding	1	16174359	16266955
ENSG00000238818	snoRNA	1	16237392	16237492
ENSG00000270620	pseudogene	1	16244193	16244403
ENSG00000116809	protein_coding	1	16268364	16302627
ENSG00000234607	pseudogene	1	16296127	16296689
ENSG00000231353	pseudogene	1	16314677	16314936
ENSG00000224966	pseudogene	1	16316366	16321246
ENSG00000183888	protein_coding	1	16330731	16335302
ENSG00000233078	antisense	1	16332655	16333166
ENSG00000173641	protein_coding	1	16340523	16346089
ENSG00000186510	protein_coding	1	16345370	16360545
ENSG00000232456	pseudogene	1	16361673	16366524
ENSG00000184908	protein_coding	1	16370272	16383803
ENSG00000185519	protein_coding	1	16384264	16400127
ENSG00000142627	protein_coding	1	16450832	16482582
ENSG00000227959	antisense	1	16481706	16483824
ENSG00000224621	antisense	1	16485761	16488378
ENSG00000234166	antisense	1	16524349	16524852
ENSG00000142632	protein_coding	1	16524349	16539104
ENSG00000237276	pseudogene	1	16542404	16554522
ENSG00000204377	protein_coding	1	16555368	16556038
ENSG00000132881	protein_coding	1	16558195	16563657
ENSG00000233929	pseudogene	1	16567708	16567893
ENSG00000037637	protein_coding	1	16573334	16678949
ENSG00000055070	protein_coding	1	16679070	16724640
ENSG00000226457	pseudogene	1	16695645	16696025
ENSG00000187144	protein_coding	1	16713612	16763919
ENSG00000157191	protein_coding	1	16767167	16786573
ENSG00000226029	lincRNA	1	16787443	16794976
ENSG00000080947	pseudogene	1	16793931	16825752
ENSG00000206652	snRNA	1	16840617	16840780
ENSG00000261135	lincRNA	1	16841140	16842249
ENSG00000224174	lincRNA	1	16847189	16848291
ENSG00000233421	lincRNA	1	16860381	16862144
ENSG00000268674	protein_coding	1	16865561	16866070
ENSG00000225710	pseudogene	1	16875146	16879026
ENSG00000266584	miRNA	1	16875409	16875482
ENSG00000219481	protein_coding	1	16888814	16940057
ENSG00000271732	lincRNA	1	16943886	16944224
ENSG00000215908	lincRNA	1	16944751	16971178
ENSG00000186301	pseudogene	1	16972069	16976914
ENSG00000207513	snRNA	1	16993280	16993443
ENSG00000237847	protein_coding	1	16999498	17000007
ENSG00000264742	miRNA	1	17007750	17007823
ENSG00000236698	pseudogene	1	17012116	17012550
ENSG00000268869	pseudogene	1	17013834	17046652
ENSG00000268991	protein_coding	1	17060447	17060956
ENSG00000058453	protein_coding	1	17066768	17299474
ENSG00000207389	snRNA	1	17067011	17067174
ENSG00000227684	pseudogene	1	17076728	17077459
ENSG00000186715	pseudogene	1	17081405	17096732
ENSG00000223643	lincRNA	1	17177752	17179624
ENSG00000230239	lincRNA	1	17181902	17185779
ENSG00000263811	miRNA	1	17185444	17185516
ENSG00000228549	lincRNA	1	17197440	17200587
