Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	HGNC symbol	Gene type
ENSG00000211581	156905923	156906036	1	MIR765	miRNA
ENSG00000204485	13607431	13611550	1		pseudogene
ENSG00000225036	105976616	105977443	1		pseudogene
ENSG00000266160	156955549	156955841	1	RN7SL612P	misc_RNA
ENSG00000237842	157029024	157030554	1		pseudogene
ENSG00000224520	157043049	157044495	1	KRT8P45	pseudogene
ENSG00000230768	106130197	106161580	1		lincRNA
ENSG00000235700	157098154	157098463	1	CYCSP52	pseudogene
ENSG00000224581	13632348	13635279	1		pseudogene
ENSG00000229961	157155178	157157195	1		lincRNA
ENSG00000227850	106240661	106240840	1	SEPT2P1	pseudogene
ENSG00000228239	157202021	157206926	1		lincRNA
ENSG00000221643	203698709	203698833	1	SNORA77	snoRNA
ENSG00000271736	157250506	157252858	1		lincRNA
ENSG00000227417	203774749	203775391	1		pseudogene
ENSG00000236973	52172810	52173809	1	GAPDHP51	pseudogene
ENSG00000237189	157257493	157257843	1		lincRNA
ENSG00000237897	106433315	106434052	1		pseudogene
ENSG00000236731	157599729	157600518	1		pseudogene
ENSG00000239395	247875115	247887066	1		processed_transcript
ENSG00000259961	13839715	13842765	1		antisense
ENSG00000223505	203804713	203805040	1		pseudogene
ENSG00000232952	106434361	106436139	1		pseudogene
ENSG00000215909	13881496	13882189	1		pseudogene
ENSG00000236430	203841702	203843315	1	KRT8P29	pseudogene
ENSG00000228336	247938212	247939138	1	OR9H1P	pseudogene
ENSG00000222952	13949679	13949779	1	RNA5SP41	rRNA
ENSG00000232846	52174734	52175612	1	SLC25A6P3	pseudogene
ENSG00000233047	106470246	106565834	1		lincRNA
ENSG00000233712	157606090	157610091	1		pseudogene
ENSG00000266358	13950397	13950497	1		miRNA
ENSG00000232908	247990788	247991804	1	HSD17B7P1	pseudogene
ENSG00000237445	13983806	13986405	1		lincRNA
ENSG00000253085	14022565	14022694	1		snoRNA
ENSG00000230576	247996651	247997590	1	OR6R1P	pseudogene
ENSG00000132763	45965725	45976739	1	MMACHC	protein_coding
ENSG00000252151	14450728	14450830	1	RNU6-1265P	snRNA
ENSG00000232917	203872851	203873147	1	HSPE1P6	pseudogene
ENSG00000212624	52190447	52190568	1		snoRNA
ENSG00000237480	106615869	106627121	1		lincRNA
ENSG00000231606	14548386	14549613	1		lincRNA
ENSG00000226191	248099363	248100815	1		pseudogene
ENSG00000266993	52259637	52264824	1		antisense
ENSG00000227217	157661552	157666249	1		antisense
ENSG00000234593	14675450	14677518	1		lincRNA
ENSG00000231700	157678876	157679433	1		pseudogene
ENSG00000272175	52266700	52266979	1		antisense
ENSG00000230932	106623423	106624001	1		pseudogene
ENSG00000212076	52302013	52302082	1	MIR761	miRNA
ENSG00000237379	203923768	203924908	1	CBX1P3	pseudogene
ENSG00000270342	107086964	107087366	1		pseudogene
ENSG00000230604	52325450	52325807	1	TSEN15P2	pseudogene
ENSG00000232366	157693970	157694810	1	VDAC1P9	pseudogene
ENSG00000224830	248102275	248102961	1	OR2X1P	pseudogene
ENSG00000235829	15018625	15019109	1	TBCAP2	pseudogene
ENSG00000237492	248138043	248138955	1	OR2L9P	pseudogene
ENSG00000211554	203968373	203968471	1		miRNA
ENSG00000212174	52331305	52331381	1		misc_RNA
ENSG00000265769	52366592	52366643	1		miRNA
ENSG00000270976	107322845	107323057	1		pseudogene
ENSG00000227425	157830987	157831250	1	MRPS21P2	pseudogene
ENSG00000224227	248153569	248154506	1	OR2L1P	pseudogene
ENSG00000233449	107345377	107346049	1		pseudogene
ENSG00000200839	52439082	52439207	1	RNA5SP48	rRNA
ENSG00000176754	204001575	204010393	1	LINC00303	lincRNA
ENSG00000199442	248160302	248160398	1		misc_RNA
ENSG00000229032	52446145	52446486	1		pseudogene
ENSG00000232215	248166431	248167370	1	OR2L6P	pseudogene
ENSG00000232551	107347096	107348654	1		pseudogene
ENSG00000236957	157894855	157918861	1		pseudogene
ENSG00000200085	248192422	248192523	1		misc_RNA
ENSG00000175147	15442448	15478960	1	TMEM51-AS1	processed_transcript
ENSG00000264613	52461412	52461709	1	RN7SL290P	misc_RNA
ENSG00000200982	248209090	248209191	1		misc_RNA
ENSG00000223390	52499063	52509951	1		antisense
ENSG00000197067	248246936	248247898	1	OR2T32P	pseudogene
ENSG00000228369	52516590	52518355	1	TXNDC12-AS1	antisense
ENSG00000237460	107360861	107380789	1		lincRNA
ENSG00000241745	52615777	52616089	1	RN7SL788P	misc_RNA
ENSG00000228407	52625933	52626272	1		pseudogene
ENSG00000177233	248285234	248286184	1	OR2M1P	pseudogene
ENSG00000238883	107991091	107991177	1		miRNA
ENSG00000224550	108047825	108048070	1		pseudogene
ENSG00000229255	248647546	248648785	1		antisense
ENSG00000223429	52627858	52628698	1		pseudogene
ENSG00000265536	108318796	108318878	1		miRNA
ENSG00000226520	157995340	158000956	1	KIRREL-IT1	sense_intronic
ENSG00000215720	15518324	15519341	1		pseudogene
ENSG00000230489	108507065	108537229	1	VAV3-AS1	antisense
ENSG00000231666	158101834	158110429	1		lincRNA
ENSG00000264753	108561275	108561393	1		miRNA
ENSG00000271934	248661609	248661929	1	OR2AS2P	pseudogene
ENSG00000233485	15653176	15670372	1		antisense
ENSG00000226822	108614104	108617141	1		lincRNA
ENSG00000224255	52645520	52646225	1	PDCL3P6	pseudogene
ENSG00000236045	15660662	15661960	1		antisense
ENSG00000224521	248712057	248727140	1		antisense
ENSG00000261065	204100190	204101094	1		antisense
ENSG00000227295	158145640	158147545	1	ELL2P1	pseudogene
ENSG00000228140	15729475	15735929	1		lincRNA
ENSG00000230550	204110536	204112137	1		antisense
ENSG00000260879	108742548	108744113	1		antisense
ENSG00000238122	108803818	108816311	1		lincRNA
ENSG00000229914	158165423	158165921	1		pseudogene
ENSG00000236004	52655588	52655981	1		pseudogene
ENSG00000225522	204152134	204152665	1		pseudogene
ENSG00000251866	15868660	15868799	1		snoRNA
ENSG00000231691	204246133	204247076	1		antisense
ENSG00000227102	248712745	248713063	1	OR2AS1P	pseudogene
ENSG00000176320	158167712	158173667	1		lincRNA
ENSG00000272510	15892106	15892451	1		antisense
ENSG00000237663	52717734	52718445	1	DNAJC19P7	pseudogene
ENSG00000237301	15912631	15930121	1		antisense
ENSG00000219133	204315904	204316386	1		pseudogene
ENSG00000241361	108815565	108918572	1	SLC25A24P1	pseudogene
ENSG00000230942	158236543	158237110	1	HMGN1P5	pseudogene
ENSG00000201602	248758226	248758334	1		misc_RNA
ENSG00000271701	248764717	248765170	1		pseudogene
ENSG00000235084	15931077	15931538	1	CHCHD2P6	pseudogene
ENSG00000229703	248855492	248862411	1		lincRNA
ENSG00000117450	45976708	45988719	1	PRDX1	protein_coding
ENSG00000203758	158414858	158415804	1	OR10T1P	pseudogene
ENSG00000226330	204346978	204404974	1		antisense
ENSG00000237848	204363669	204363902	1		pseudogene
ENSG00000232694	248881947	248885506	1		lincRNA
ENSG00000236257	158423988	158425063	1	EI24P2	pseudogene
ENSG00000252417	15934573	15934640	1	RNU7-179P	snRNA
ENSG00000242529	248885294	248885502	1	AHCYP8	pseudogene
ENSG00000236779	204497973	204498820	1		pseudogene
ENSG00000213735	52719293	52719848	1	ANAPC10P1	pseudogene
ENSG00000236500	15941138	15941362	1		pseudogene
ENSG00000200408	204531541	204531649	1	RNA5SP74	rRNA
ENSG00000236656	158444244	158464676	1		antisense
ENSG00000272100	52819159	52819549	1		antisense
ENSG00000271742	16009368	16009623	1		lincRNA
ENSG00000240710	204572163	204585693	1		antisense
ENSG00000264048	16010967	16011053	1		miRNA
ENSG00000224680	52834349	52834916	1	PLA2G12AP1	pseudogene
ENSG00000229663	249065834	249067991	1		pseudogene
ENSG00000237938	16049214	16063391	1		antisense
ENSG00000240219	204595903	204598840	1		lincRNA
ENSG00000239063	52877114	52877194	1		snoRNA
ENSG00000266816	30780753	30780836	13		miRNA
ENSG00000252928	30855902	30856006	13	RNU6-64P	snRNA
ENSG00000250878	103532449	103548383	13	METTL21EP	pseudogene
ENSG00000215049	30870284	30870872	13	PRDX2P1	pseudogene
ENSG00000272542	103541208	103542184	13		lincRNA
ENSG00000236463	30890497	30894040	13	LINC00427	lincRNA
ENSG00000234551	104077550	104080035	13		lincRNA
ENSG00000230474	104096970	104097318	13	ATP6V1G1P7	pseudogene
ENSG00000225823	105466678	105467420	13	RPL7P45	pseudogene
ENSG00000232307	106111404	106158030	13	DAOA-AS1	antisense
ENSG00000238121	30914407	30951282	13	LINC00426	lincRNA
ENSG00000226620	106356629	106416789	13	LINC00343	processed_transcript
ENSG00000225039	30993656	30996374	13	LINC01058	lincRNA
ENSG00000252550	106549872	106549992	13		snoRNA
ENSG00000236444	31002084	31002656	13	UBE2L5P	pseudogene
ENSG00000222643	106780720	106780837	13		miRNA
ENSG00000222682	106807721	106807839	13	RNA5SP38	rRNA
ENSG00000213411	31113734	31117598	13	RBM22P2	pseudogene
ENSG00000233532	107028911	107030565	13	LINC00460	lincRNA
ENSG00000232489	31115780	31117034	13	MFAP1P1	pseudogene
ENSG00000174418	107078121	107078470	13	RPL35P9	pseudogene
ENSG00000224117	31127807	31128830	13	PTPN2P2	pseudogene
ENSG00000272274	107270158	107283707	13	LINC00551	lincRNA
ENSG00000230156	107306264	107324511	13	LINC00443	lincRNA
ENSG00000237879	31377343	31384782	13	LINC00398	lincRNA
ENSG00000227590	107315785	107316195	13	ATP5G1P5	pseudogene
ENSG00000174408	107516164	107516634	13	PPIAP24	pseudogene
ENSG00000224743	31456070	31507983	13	TEX26-AS1	antisense
ENSG00000196777	107594562	107594907	13		pseudogene
ENSG00000239050	107627286	107627374	13		miRNA
ENSG00000221316	107773381	107773471	13		miRNA
ENSG00000201847	107973243	107973311	13		snoRNA
ENSG00000221650	108183519	108183596	13	MIR1267	miRNA
ENSG00000221473	108288379	108288464	13		miRNA
ENSG00000227248	108440690	108487799	13	FAM155A-IT1	sense_intronic
ENSG00000223177	108953560	108953679	13	RNA5SP39	rRNA
ENSG00000232087	109132574	109134165	13	HCFC2P1	pseudogene
ENSG00000229938	109753609	109754267	13	MYO16-AS2	antisense
ENSG00000236094	31456688	31457532	13	LINC00545	lincRNA
ENSG00000236242	109816250	109853831	13	MYO16-AS1	antisense
ENSG00000238185	31547426	31551760	13		antisense
ENSG00000223617	109934321	109940081	13	LINC00370	lincRNA
ENSG00000230233	19986749	20022678	21		lincRNA
ENSG00000230403	31569299	31570275	13	LINC01066	lincRNA
ENSG00000236053	109962483	109964121	13	LINC01067	lincRNA
ENSG00000265841	20058408	20058482	21	MIR548X	miRNA
ENSG00000231894	31651391	31689836	13	WDR95P	pseudogene
ENSG00000229792	110053043	110053988	13	LINC00399	lincRNA
ENSG00000221041	20076689	20076772	21		miRNA
ENSG00000234854	110380629	110382354	13	LINC00676	antisense
ENSG00000198618	20230097	20230594	21	PPIAP22	pseudogene
ENSG00000229427	31885426	31887058	13	ANKRD26P4	pseudogene
ENSG00000255813	110407168	110407615	13		pseudogene
ENSG00000201161	110567443	110567767	13	RN7SKP10	misc_RNA
ENSG00000231428	110705632	110707299	13	LINC00396	lincRNA
ENSG00000232193	20290252	20308177	21		lincRNA
ENSG00000229715	32420978	32527609	13	EEF1DP3	pseudogene
ENSG00000226204	20325582	20339376	21		lincRNA
ENSG00000265885	110750200	110750498	13	RN7SL783P	misc_RNA
ENSG00000238629	111066552	111066653	13		snoRNA
ENSG00000235965	20418629	20420003	21		lincRNA
ENSG00000224821	111108743	111115634	13	COL4A2-AS2	antisense
ENSG00000235822	32559822	32565134	13	LINC01073	lincRNA
ENSG00000229289	20502841	20506741	21		lincRNA
ENSG00000237637	32599451	32605776	13	FRY-AS1	antisense
ENSG00000232814	111154922	111160526	13	COL4A2-AS1	antisense
ENSG00000226818	20616860	20618709	21	SLC6A6P1	pseudogene
ENSG00000230633	32872291	32872849	13		antisense
ENSG00000255831	111291555	111292340	13		pseudogene
ENSG00000231620	20673930	20676056	21		lincRNA
ENSG00000215515	32958797	32960245	13	IFIT1P1	pseudogene
ENSG00000225239	111415021	111415480	13	RPL21P107	pseudogene
ENSG00000212609	20717465	20717629	21	RNU1-139P	snRNA
ENSG00000259831	111462023	111465431	13	LINC00567	lincRNA
ENSG00000212293	32994527	32994653	13		snoRNA
ENSG00000230198	20966155	20966422	21	RPL37P4	pseudogene
ENSG00000270008	32999495	33007091	13		processed_transcript
ENSG00000229152	111547406	111551519	13	ANKRD10-IT1	sense_intronic
ENSG00000271486	20993009	20993859	21		pseudogene
ENSG00000229336	21112023	21112464	21		pseudogene
ENSG00000229800	33051411	33052978	13	ATP8A2P2	pseudogene
ENSG00000227105	111589106	111592131	13	PARP1P1	pseudogene
ENSG00000215353	21131673	21132442	21	C1QBPP	pseudogene
ENSG00000233480	21265593	21272069	21		lincRNA
ENSG00000225760	111635654	111642911	13	LINC00431	lincRNA
ENSG00000233236	21629065	21631133	21		lincRNA
ENSG00000225870	111748185	111755444	13	LINC00368	lincRNA
ENSG00000251851	21728060	21728164	21	RNU6-772P	snRNA
ENSG00000252963	21728965	21729208	21	RN7SKP147	misc_RNA
ENSG00000235875	111766159	111768025	13	ARHGEF7-AS2	antisense
ENSG00000207325	33337576	33337690	13	RNY1P4	misc_RNA
ENSG00000233676	21760646	21761157	21	FDPSP6	pseudogene
ENSG00000226968	33451569	33485788	13	LINC00423	lincRNA
ENSG00000233644	111774999	111796611	13	ARHGEF7-IT1	sense_intronic
ENSG00000234439	21797261	21798518	21	KRT18P2	pseudogene
ENSG00000227352	111796652	111797080	13	ARHGEF7-AS1	antisense
ENSG00000227604	33528195	33528539	13	TOMM22P3	pseudogene
ENSG00000233206	21802755	21803074	21	RPS3AP1	pseudogene
ENSG00000221677	33615489	33615580	13		miRNA
ENSG00000215881	112248356	112294426	13		sense_overlapping
ENSG00000230300	33732724	33738546	13	STARD13-IT1	sense_intronic
ENSG00000226903	112554299	112555490	13	LINC00354	lincRNA
ENSG00000224924	22114908	22175534	21	LINC00320	lincRNA
ENSG00000264989	112563079	112563148	13		miRNA
ENSG00000200072	112706392	112706452	13		snoRNA
ENSG00000260385	112737863	112739785	13		lincRNA
ENSG00000229520	112760409	112761196	13	LINC00404	lincRNA
ENSG00000215351	22200445	22200940	21	PPIAP1	pseudogene
ENSG00000224243	112761433	112762329	13	LINC00403	lincRNA
ENSG00000226771	22595616	22599150	21		antisense
ENSG00000260102	112851664	112855314	13	LINC01070	lincRNA
ENSG00000221210	22770068	22770146	21		miRNA
ENSG00000234730	22939084	22987758	21		lincRNA
ENSG00000260343	112967781	112976072	13	LINC01043	lincRNA
ENSG00000198434	23006773	23007049	21		pseudogene
ENSG00000223626	112976881	112985539	13	LINC01044	lincRNA
ENSG00000237527	23027359	23058649	21		lincRNA
ENSG00000264726	113372159	113372228	13		miRNA
ENSG00000232684	113399763	113409007	13	ATP11A-AS1	antisense
ENSG00000238265	23095613	23109639	21	LINC00317	lincRNA
ENSG00000234603	113539551	113539994	13		pseudogene
ENSG00000236581	33845516	33855471	13	STARD13-AS	processed_transcript
ENSG00000267868	113619149	113620445	13		lincRNA
ENSG00000188403	20169919	20170354	15	IGHV1OR15-9	IG_V_gene
ENSG00000235280	113621798	113623138	13	MCF2L-AS1	antisense
ENSG00000269356	113663092	113663738	13		sense_intronic
ENSG00000233997	23119293	23169735	21		lincRNA
ENSG00000269376	113663985	113664633	13		sense_intronic
ENSG00000231882	113782469	113783194	13	F10-AS1	antisense
ENSG00000230371	113784730	113786368	13	KARSP2	pseudogene
ENSG00000259490	20192909	20193370	15	IGHV3OR15-7	IG_V_gene
ENSG00000269125	113819316	113819497	13		antisense
ENSG00000227075	23305635	23348000	21		lincRNA
ENSG00000232662	113930931	113932049	13	LDHBP1	pseudogene
ENSG00000270961	20209093	20209115	15	IGHD5OR15-5A	IG_D_gene
ENSG00000225083	114005988	114016183	13	GRTP1-AS1	antisense
ENSG00000233215	23381263	23470778	21		lincRNA
ENSG00000233613	114123216	114130450	13	DCUN1D2-AS	antisense
ENSG00000271317	20210050	20210068	15	IGHD4OR15-4A	IG_D_gene
ENSG00000202347	114133230	114133393	13	RNU1-16P	snRNA
ENSG00000227208	114451484	114454062	13	LINC00552	pseudogene
ENSG00000270783	20211158	20211188	15	IGHD3OR15-3A	IG_D_gene
ENSG00000233695	114518603	114542321	13	GAS6-AS1	antisense
ENSG00000271197	20213655	20213685	15	IGHD2OR15-2A	IG_D_gene
ENSG00000272695	114567141	114569806	13	GAS6-AS2	lincRNA
ENSG00000184856	23470936	23488847	21	LINC00308	lincRNA
ENSG00000227911	33907816	33909414	13		lincRNA
ENSG00000237699	114580581	114582349	13		lincRNA
ENSG00000271336	20216406	20216422	15	IGHD1OR15-1A	IG_D_gene
ENSG00000264288	33911020	33911109	13		miRNA
ENSG00000265259	21852889	21853170	18	RN7SL247P	misc_RNA
ENSG00000234340	23507018	23508403	21		pseudogene
ENSG00000230490	33929343	34250905	13		lincRNA
ENSG00000212051	21901650	21901699	18	MIR320C2	miRNA
ENSG00000226921	114581673	114586624	13	LINC00454	lincRNA
ENSG00000264365	21944751	21947948	18		antisense
ENSG00000273321	21982117	21982678	18		lincRNA
ENSG00000234535	34185104	34185659	13		lincRNA
ENSG00000232986	34231573	34234065	13		lincRNA
ENSG00000199636	22009469	22009573	18		misc_RNA
ENSG00000265094	22015328	22019602	18		sense_intronic
ENSG00000252397	34403676	34403786	13	RNU5A-4P	snRNA
ENSG00000263663	34486129	34486218	13		miRNA
ENSG00000227254	34656566	34657447	13	VDAC1P12	pseudogene
ENSG00000229373	114586640	114626485	13	LINC00452	lincRNA
ENSG00000199196	34674848	34674975	13		snoRNA
ENSG00000215405	20737094	20747114	15	GOLGA6L6	protein_coding
ENSG00000271850	34922180	35188307	13		lincRNA
ENSG00000225179	35009587	35214822	13	LINC00457	lincRNA
ENSG00000231136	23526270	23526619	21		pseudogene
ENSG00000260910	114629487	114631817	13	LINC00565	lincRNA
ENSG00000271901	35120066	35245319	13		lincRNA
ENSG00000202339	23577511	23577651	21	RNU4-45P	snRNA
ENSG00000232487	114873044	114874295	13	RASA3-IT1	sense_intronic
ENSG00000226043	23582258	23793139	21		lincRNA
ENSG00000231910	35148341	35148803	13	GAMTP2	pseudogene
ENSG00000264539	115009980	115010036	13	MIR548AR	miRNA
ENSG00000261728	35499971	35502213	13		lincRNA
ENSG00000223488	23808610	23810669	21	MAPK6PS2	pseudogene
ENSG00000265450	115039303	115039383	13	MIR4502	miRNA
ENSG00000232795	35759431	35760816	13	SCAND3P1	pseudogene
ENSG00000226158	115072121	115072541	13	CLCP2	pseudogene
ENSG00000234835	35825207	35825966	13	PHBP13	pseudogene
ENSG00000229723	115095034	115099423	13	LINC01054	antisense
ENSG00000268343	21004687	21005367	15		protein_coding
ENSG00000221519	36068551	36068674	13		miRNA
ENSG00000236036	36271661	36273393	13	LINC00445	lincRNA
ENSG00000207203	36841305	36841411	13	RNU6-71P	snRNA
ENSG00000169861	10862622	10863067	21	IGHV1OR21-1	IG_V_gene
ENSG00000266047	36929928	36930015	13		miRNA
ENSG00000223383	37064215	37064578	13	HIST1H2APS6	pseudogene
ENSG00000222602	37302739	37302829	13		miRNA
ENSG00000235306	37314178	37315000	13	GAPDHP34	pseudogene
ENSG00000223543	37316015	37316602	13	TCEAL4P1	pseudogene
ENSG00000215486	37363469	37369187	13	ARL2BPP3	pseudogene
ENSG00000230031	21040701	21071643	15	POTEB2	protein_coding
ENSG00000271337	37378335	37379439	13	NDE1P2	pseudogene
ENSG00000236711	37423503	37424183	13	SMAD9-AS1	sense_intronic
ENSG00000228825	37496676	37497045	13	LAMTOR3P1	pseudogene
ENSG00000232378	37500575	37501356	13	RPL29P28	pseudogene
ENSG00000237074	207422412	207482466	1		lincRNA
ENSG00000224259	159931008	159948851	1	LINC01133	lincRNA
ENSG00000253044	207688630	207688688	1		miRNA
ENSG00000164011	43312280	43318148	1	ZNF691	protein_coding
ENSG00000236911	207725270	207779900	1		antisense
ENSG00000233421	16860381	16862144	1		lincRNA
ENSG00000133055	203136939	203144941	1	MYBPH	protein_coding
ENSG00000244703	207818579	207830755	1	CD46P1	pseudogene
ENSG00000203817	149438750	149459549	1	FAM72C	protein_coding
ENSG00000232198	55838383	55838989	1		pseudogene
ENSG00000225710	16875146	16879026	1		pseudogene
ENSG00000266584	16875409	16875482	1		miRNA
ENSG00000199831	55842199	55842525	1	RN7SKP291	misc_RNA
ENSG00000237409	159990090	159990517	1		pseudogene
ENSG00000271732	16943886	16944224	1		lincRNA
ENSG00000252162	55864187	55864293	1	RNU6-830P	snRNA
ENSG00000272051	55950544	55950645	1		misc_RNA
ENSG00000234810	56046710	56200675	1		lincRNA
ENSG00000260766	159994743	159996584	1		sense_overlapping
ENSG00000215908	16944751	16971178	1	CROCCP2	lincRNA
ENSG00000225279	160032278	160049611	1		antisense
ENSG00000270380	110999127	110999976	1		antisense
ENSG00000233147	56289480	56333921	1		lincRNA
ENSG00000198161	149553003	149553787	1	PPIAL4C	protein_coding
ENSG00000227741	160171989	160178659	1		antisense
ENSG00000226289	207831799	207832487	1		pseudogene
ENSG00000230250	56381282	56410636	1		lincRNA
ENSG00000240194	111023374	111033899	1	CYMP	pseudogene
ENSG00000234219	207935929	207936608	1		pseudogene
ENSG00000265381	160175167	160175254	1		miRNA
ENSG00000227104	56404387	56404953	1	PIGQP1	pseudogene
ENSG00000228606	160231534	160232568	1		antisense
ENSG00000203709	207974863	208042495	1	C1orf132	processed_transcript
ENSG00000233079	56410760	56415792	1		lincRNA
ENSG00000235612	56611393	56620896	1		lincRNA
ENSG00000203815	149675978	149676609	1	FAM231D	protein_coding
ENSG00000229871	56673239	56674128	1		pseudogene
ENSG00000224261	160236130	160237015	1		pseudogene
ENSG00000260971	56713966	56724243	1		lincRNA
ENSG00000235082	160287193	160287496	1	SUMO1P3	pseudogene
ENSG00000223307	56843005	56843090	1		miRNA
ENSG00000223956	56880635	56881638	1		lincRNA
ENSG00000226202	208047140	208052418	1		lincRNA
ENSG00000202078	160295894	160296006	1		misc_RNA
ENSG00000201608	160362558	160362699	1	RNU4-42P	snRNA
ENSG00000226843	208428635	208428721	1		pseudogene
ENSG00000223009	160473166	160473246	1		miRNA
ENSG00000235407	111030302	111032880	1		lincRNA
ENSG00000261453	208780445	208785537	1		lincRNA
ENSG00000234425	160506863	160541248	1		antisense
ENSG00000221538	111195564	111195653	1		miRNA
ENSG00000259815	208800086	208801430	1		lincRNA
ENSG00000264286	160515438	160515535	1		miRNA
ENSG00000259834	111196182	111199662	1		lincRNA
ENSG00000235101	160639938	160640769	1	SETP9	pseudogene
ENSG00000227887	208870714	208871043	1	RPS26P13	pseudogene
ENSG00000199710	111307030	111307128	1		misc_RNA
ENSG00000150337	149754227	149764074	1	FCGR1A	protein_coding
ENSG00000237415	111390699	111391563	1	NRBF2P3	pseudogene
ENSG00000236776	57004124	57004583	1	RPL21P23	pseudogene
ENSG00000186301	16972069	16976914	1	MST1P2	pseudogene
ENSG00000228863	160640568	160653698	1		antisense
ENSG00000232812	208902033	208906529	1		lincRNA
ENSG00000232791	111396560	111397513	1	OR11I1P	pseudogene
ENSG00000224980	57051285	57051915	1		pseudogene
ENSG00000236950	209145799	209148652	1		lincRNA
ENSG00000227239	160667760	160668001	1		pseudogene
ENSG00000261654	111478991	111484975	1		sense_overlapping
ENSG00000232811	111486089	111495470	1		antisense
ENSG00000226003	160817800	160818292	1		pseudogene
ENSG00000273010	111505924	111507271	1		antisense
ENSG00000225475	57085082	57085222	1		pseudogene
ENSG00000213080	160864770	160865866	1		pseudogene
ENSG00000232537	209320612	209328446	1		lincRNA
ENSG00000225672	111550322	111558152	1	CCNT2P1	pseudogene
ENSG00000229913	57289352	57292593	1		antisense
ENSG00000133048	203148059	203155877	1	CHI3L1	protein_coding
ENSG00000232188	160901529	160904170	1		lincRNA
ENSG00000228081	209346359	209346720	1		pseudogene
ENSG00000198358	160902255	160919712	1		antisense
ENSG00000236341	57429559	57462430	1		antisense
ENSG00000224540	209405541	209406764	1		pseudogene
ENSG00000252760	111584456	111584547	1	RNA5SP54	rRNA
ENSG00000221591	57431953	57432035	1		miRNA
ENSG00000272982	111723996	111724113	1		antisense
ENSG00000233691	160905327	160905916	1		pseudogene
ENSG00000227935	57852248	57853122	1		lincRNA
ENSG00000273221	111727037	111727683	1		antisense
ENSG00000236040	111792876	111799337	1	CHIAP1	pseudogene
ENSG00000225712	209441143	209441568	1	ATP5G2P1	pseudogene
