ens_ID	transcript_ID	transcript_biotype
ENSG00000238982	ENST00000459168	snoRNA
ENSG00000222395	ENST00000410463	misc_RNA
ENSG00000177150	ENST00000322247	protein_coding
ENSG00000104129	ENST00000220496	protein_coding
ENSG00000177150	ENST00000589346	protein_coding
ENSG00000177150	ENST00000592976	protein_coding
ENSG00000177150	ENST00000591269	protein_coding
ENSG00000177150	ENST00000402563	protein_coding
ENSG00000155313	ENST00000285679	protein_coding
ENSG00000155313	ENST00000351097	protein_coding
ENSG00000155313	ENST00000285681	protein_coding
ENSG00000155313	ENST00000453553	protein_coding
ENSG00000155313	ENST00000449491	protein_coding
ENSG00000155313	ENST00000400183	protein_coding
ENSG00000101638	ENST00000315087	protein_coding
ENSG00000232560	ENST00000440664	protein_coding
ENSG00000101638	ENST00000538168	protein_coding
ENSG00000101638	ENST00000536490	protein_coding
ENSG00000243900	ENST00000484133	misc_RNA
ENSG00000252141	ENST00000516332	snRNA
ENSG00000206920	ENST00000384193	misc_RNA
ENSG00000242893	ENST00000482700	misc_RNA
ENSG00000154639	ENST00000284878	protein_coding
ENSG00000154639	ENST00000400166	protein_coding
ENSG00000154639	ENST00000356275	protein_coding
ENSG00000154639	ENST00000400165	protein_coding
ENSG00000154639	ENST00000400169	protein_coding
ENSG00000154639	ENST00000306618	protein_coding
ENSG00000101654	ENST00000543302	protein_coding
ENSG00000078043	ENST00000585916	protein_coding
ENSG00000101654	ENST00000383314	protein_coding
ENSG00000101654	ENST00000592764	protein_coding
ENSG00000101654	ENST00000591746	protein_coding
ENSG00000078043	ENST00000545673	protein_coding
ENSG00000101654	ENST00000589866	protein_coding
ENSG00000078043	ENST00000324794	protein_coding
ENSG00000101654	ENST00000593007	protein_coding
ENSG00000101654	ENST00000262173	protein_coding
ENSG00000078043	ENST00000589917	protein_coding
ENSG00000078043	ENST00000586953	protein_coding
ENSG00000101654	ENST00000535051	protein_coding
ENSG00000078043	ENST00000592221	protein_coding
ENSG00000078043	ENST00000587810	protein_coding
ENSG00000154640	ENST00000339775	protein_coding
ENSG00000188277	ENST00000344320	protein_coding
ENSG00000154640	ENST00000348354	protein_coding
ENSG00000156958	ENST00000327171	protein_coding
ENSG00000249139	ENST00000504988	protein_coding
ENSG00000156958	ENST00000560654	protein_coding
ENSG00000154640	ENST00000457956	protein_coding
ENSG00000156958	ENST00000560031	protein_coding
ENSG00000156958	ENST00000396509	protein_coding
ENSG00000156958	ENST00000558145	protein_coding
ENSG00000240847	ENST00000476341	misc_RNA
ENSG00000158901	ENST00000357199	protein_coding
ENSG00000158901	ENST00000289953	protein_coding
ENSG00000156958	ENST00000544523	protein_coding
ENSG00000156958	ENST00000560138	protein_coding
ENSG00000156958	ENST00000559454	protein_coding
ENSG00000180205	ENST00000326000	protein_coding
ENSG00000156958	ENST00000558399	protein_coding
ENSG00000156958	ENST00000559580	protein_coding
ENSG00000156958	ENST00000560528	protein_coding
ENSG00000156958	ENST00000543495	protein_coding
ENSG00000154642	ENST00000284881	protein_coding
ENSG00000154642	ENST00000284881	protein_coding
ENSG00000154642	ENST00000400559	protein_coding
ENSG00000154642	ENST00000400558	protein_coding
ENSG00000154642	ENST00000405964	protein_coding
ENSG00000199204	ENST00000362334	misc_RNA
ENSG00000140416	ENST00000288398	protein_coding
ENSG00000140416	ENST00000358278	protein_coding
ENSG00000140416	ENST00000560445	protein_coding
ENSG00000140416	ENST00000403994	protein_coding
ENSG00000140416	ENST00000357980	protein_coding
ENSG00000140416	ENST00000559556	protein_coding
ENSG00000252078	ENST00000516269	snoRNA
ENSG00000140416	ENST00000559397	protein_coding
ENSG00000140416	ENST00000267996	protein_coding
ENSG00000140416	ENST00000560970	protein_coding
ENSG00000140416	ENST00000561266	protein_coding
ENSG00000140577	ENST00000420329	protein_coding
ENSG00000140577	ENST00000420329	protein_coding
ENSG00000140577	ENST00000560098	protein_coding
ENSG00000166140	ENST00000570108	protein_coding
ENSG00000140416	ENST00000334895	protein_coding
ENSG00000140577	ENST00000268184	protein_coding
ENSG00000140416	ENST00000404484	protein_coding
ENSG00000101138	ENST00000415828	protein_coding
ENSG00000166140	ENST00000564258	protein_coding
ENSG00000154645	ENST00000400128	protein_coding
ENSG00000154645	ENST00000400131	protein_coding
ENSG00000140416	ENST00000560959	protein_coding
ENSG00000154645	ENST00000400135	protein_coding
ENSG00000166140	ENST00000355341	protein_coding
ENSG00000140416	ENST00000559281	protein_coding
ENSG00000140577	ENST00000558005	protein_coding
ENSG00000154645	ENST00000400127	protein_coding
ENSG00000140416	ENST00000317516	protein_coding
ENSG00000166140	ENST00000336455	protein_coding
ENSG00000140416	ENST00000560615	protein_coding
ENSG00000222704	ENST00000410772	misc_RNA
ENSG00000140416	ENST00000560679	protein_coding
ENSG00000166140	ENST00000299173	protein_coding
ENSG00000101138	ENST00000217109	protein_coding
ENSG00000101138	ENST00000217109	protein_coding
ENSG00000253038	ENST00000517229	snRNA
ENSG00000154645	ENST00000299295	protein_coding
ENSG00000154645	ENST00000299295	protein_coding
ENSG00000101138	ENST00000428552	protein_coding
ENSG00000154645	ENST00000543733	protein_coding
ENSG00000199605	ENST00000362735	misc_RNA
ENSG00000101138	ENST00000452950	protein_coding
ENSG00000154645	ENST00000338326	protein_coding
ENSG00000166140	ENST00000566407	protein_coding
ENSG00000140416	ENST00000558910	protein_coding
ENSG00000180305	ENST00000372643	protein_coding
ENSG00000166140	ENST00000561617	protein_coding
ENSG00000200407	ENST00000363537	snRNA
ENSG00000212354	ENST00000391052	snRNA
ENSG00000166140	ENST00000566767	protein_coding
ENSG00000180083	ENST00000356562	protein_coding
ENSG00000068793	ENST00000561185	protein_coding
ENSG00000180083	ENST00000324384	protein_coding
ENSG00000238333	ENST00000459079	snRNA
ENSG00000182931	ENST00000330523	protein_coding
ENSG00000182931	ENST00000335769	protein_coding
ENSG00000168634	ENST00000305479	protein_coding
ENSG00000199633	ENST00000362763	snoRNA
ENSG00000149651	ENST00000279058	protein_coding
ENSG00000154646	ENST00000284885	protein_coding
ENSG00000154646	ENST00000422787	protein_coding
ENSG00000154646	ENST00000474775	protein_coding
ENSG00000068793	ENST00000313077	protein_coding
ENSG00000068793	ENST00000561274	protein_coding
ENSG00000068793	ENST00000560848	protein_coding
ENSG00000068793	ENST00000557859	protein_coding
ENSG00000167216	ENST00000592005	protein_coding
ENSG00000124116	ENST00000337205	protein_coding
ENSG00000068793	ENST00000435939	protein_coding
ENSG00000124116	ENST00000243938	protein_coding
ENSG00000241613	ENST00000477850	misc_RNA
ENSG00000167216	ENST00000585469	protein_coding
ENSG00000124116	ENST00000372632	protein_coding
ENSG00000124116	ENST00000372630	protein_coding
ENSG00000087589	ENST00000360314	protein_coding
ENSG00000087589	ENST00000434344	protein_coding
ENSG00000068793	ENST00000561263	protein_coding
ENSG00000087589	ENST00000371336	protein_coding
ENSG00000087589	ENST00000371336	protein_coding
ENSG00000167216	ENST00000245121	protein_coding
ENSG00000252061	ENST00000516252	snRNA
ENSG00000167216	ENST00000356157	protein_coding
ENSG00000167216	ENST00000588433	protein_coding
ENSG00000167216	ENST00000586198	protein_coding
ENSG00000167216	ENST00000591522	protein_coding
ENSG00000238455	ENST00000459611	snoRNA
ENSG00000201665	ENST00000364795	misc_RNA
ENSG00000251894	ENST00000516085	snRNA
ENSG00000166143	ENST00000299174	protein_coding
ENSG00000166143	ENST00000427255	protein_coding
ENSG00000101365	ENST00000380851	protein_coding
ENSG00000101365	ENST00000380851	protein_coding
ENSG00000201984	ENST00000365114	misc_RNA
ENSG00000222733	ENST00000410801	misc_RNA
ENSG00000154654	ENST00000400546	protein_coding
ENSG00000212479	ENST00000391177	snoRNA
ENSG00000101365	ENST00000380843	protein_coding
ENSG00000154654	ENST00000284894	protein_coding
ENSG00000166262	ENST00000559573	protein_coding
ENSG00000154654	ENST00000535285	protein_coding
ENSG00000239003	ENST00000458752	snRNA
ENSG00000265745	ENST00000492442	misc_RNA
ENSG00000176136	ENST00000589410	protein_coding
ENSG00000202151	ENST00000365281	misc_RNA
ENSG00000176136	ENST00000324750	protein_coding
ENSG00000166262	ENST00000299338	protein_coding
ENSG00000207032	ENST00000384305	misc_RNA
ENSG00000166262	ENST00000561064	protein_coding
ENSG00000251697	ENST00000515888	misc_RNA
ENSG00000206854	ENST00000384127	misc_RNA
ENSG00000185231	ENST00000327606	protein_coding
ENSG00000253018	ENST00000517209	misc_RNA
ENSG00000185231	ENST00000399821	protein_coding
ENSG00000166262	ENST00000558579	protein_coding
ENSG00000166262	ENST00000558594	protein_coding
ENSG00000166262	ENST00000559905	protein_coding
ENSG00000103642	ENST00000261893	protein_coding
ENSG00000166262	ENST00000560246	protein_coding
ENSG00000103642	ENST00000413507	protein_coding
ENSG00000103642	ENST00000413507	protein_coding
ENSG00000103642	ENST00000557972	protein_coding
ENSG00000202250	ENST00000365380	snRNA
ENSG00000202478	ENST00000365608	snRNA
ENSG00000175322	ENST00000589498	protein_coding
ENSG00000175322	ENST00000590202	protein_coding
ENSG00000241568	ENST00000481467	misc_RNA
ENSG00000101160	ENST00000217131	protein_coding
ENSG00000197299	ENST00000355112	protein_coding
ENSG00000197299	ENST00000355112	protein_coding
ENSG00000154719	ENST00000352957	protein_coding
ENSG00000239171	ENST00000459184	snoRNA
ENSG00000197299	ENST00000560509	protein_coding
ENSG00000154719	ENST00000307301	protein_coding
ENSG00000252995	ENST00000517186	snRNA
ENSG00000154719	ENST00000419219	protein_coding
ENSG00000222179	ENST00000410247	misc_RNA
ENSG00000252034	ENST00000516225	misc_RNA
ENSG00000251939	ENST00000516130	snRNA
ENSG00000251881	ENST00000516072	snoRNA
ENSG00000225978	ENST00000459583	misc_RNA
ENSG00000022277	ENST00000023939	protein_coding
ENSG00000022277	ENST00000023939	protein_coding
ENSG00000022277	ENST00000395881	protein_coding
ENSG00000166145	ENST00000562057	protein_coding
ENSG00000166145	ENST00000562057	protein_coding
ENSG00000022277	ENST00000449062	protein_coding
ENSG00000238500	ENST00000459343	snRNA
ENSG00000222439	ENST00000410507	snRNA
ENSG00000166145	ENST00000344051	protein_coding
ENSG00000166145	ENST00000568823	protein_coding
ENSG00000166145	ENST00000563656	protein_coding
ENSG00000022277	ENST00000357348	protein_coding
ENSG00000022277	ENST00000435342	protein_coding
ENSG00000166145	ENST00000568580	protein_coding
ENSG00000201077	ENST00000364207	snRNA
ENSG00000166145	ENST00000566928	protein_coding
ENSG00000166145	ENST00000564375	protein_coding
ENSG00000166145	ENST00000569589	protein_coding
ENSG00000088881	ENST00000342725	protein_coding
ENSG00000088881	ENST00000609451	protein_coding
ENSG00000269900	ENST00000363046	misc_RNA
ENSG00000101162	ENST00000217133	protein_coding
ENSG00000243136	ENST00000471800	misc_RNA
ENSG00000166145	ENST00000431806	protein_coding
ENSG00000088881	ENST00000463145	protein_coding
ENSG00000199805	ENST00000362935	snRNA
ENSG00000239025	ENST00000459502	snoRNA
ENSG00000140285	ENST00000267843	protein_coding
ENSG00000088881	ENST00000380648	protein_coding
ENSG00000140285	ENST00000560270	protein_coding
ENSG00000266996	ENST00000591973	protein_coding
ENSG00000140285	ENST00000560979	protein_coding
ENSG00000243671	ENST00000463259	misc_RNA
ENSG00000234298	ENST00000451265	protein_coding
ENSG00000201825	ENST00000364955	snRNA
ENSG00000202211	ENST00000365341	misc_RNA
ENSG00000124172	ENST00000243997	protein_coding
ENSG00000124172	ENST00000395663	protein_coding
ENSG00000183206	ENST00000358970	protein_coding
ENSG00000243871	ENST00000468140	misc_RNA
ENSG00000222398	ENST00000410466	snRNA
ENSG00000101457	ENST00000372622	protein_coding
ENSG00000185088	ENST00000330964	protein_coding
ENSG00000183791	ENST00000330682	protein_coding
ENSG00000238535	ENST00000459277	snoRNA
ENSG00000101457	ENST00000449078	protein_coding
ENSG00000185088	ENST00000462430	protein_coding
ENSG00000206991	ENST00000384264	snRNA
ENSG00000101457	ENST00000456939	protein_coding
ENSG00000124172	ENST00000395659	protein_coding
ENSG00000185088	ENST00000455271	protein_coding
ENSG00000207495	ENST00000384764	misc_RNA
ENSG00000154721	ENST00000400532	protein_coding
ENSG00000101457	ENST00000415790	protein_coding
ENSG00000185088	ENST00000411926	protein_coding
ENSG00000101457	ENST00000435014	protein_coding
ENSG00000185088	ENST00000439025	protein_coding
ENSG00000222139	ENST00000410207	snRNA
ENSG00000154721	ENST00000480456	protein_coding
ENSG00000154721	ENST00000480456	protein_coding
ENSG00000222760	ENST00000410828	snRNA
ENSG00000206944	ENST00000384217	snRNA
ENSG00000202433	ENST00000365563	snRNA
ENSG00000206181	ENST00000332567	protein_coding
ENSG00000253033	ENST00000517224	snRNA
ENSG00000170122	ENST00000382500	protein_coding
ENSG00000154721	ENST00000312957	protein_coding
ENSG00000154721	ENST00000425221	protein_coding
ENSG00000222281	ENST00000410349	misc_RNA
ENSG00000212377	ENST00000391075	snoRNA
ENSG00000251715	ENST00000515906	snoRNA
ENSG00000199282	ENST00000362412	snoRNA
ENSG00000206922	ENST00000384195	snRNA
ENSG00000199381	ENST00000362511	snRNA
ENSG00000200502	ENST00000363632	misc_RNA
ENSG00000166128	ENST00000321437	protein_coding
ENSG00000206784	ENST00000384057	misc_RNA
ENSG00000124091	ENST00000243913	protein_coding
ENSG00000200267	ENST00000363397	snRNA
ENSG00000175063	ENST00000356455	protein_coding
ENSG00000166128	ENST00000559006	protein_coding
ENSG00000264255	ENST00000582257	misc_RNA
ENSG00000201253	ENST00000364383	snRNA
ENSG00000166128	ENST00000448330	protein_coding
ENSG00000206697	ENST00000383970	misc_RNA
ENSG00000175063	ENST00000335046	protein_coding
ENSG00000101166	ENST00000355937	protein_coding
ENSG00000212247	ENST00000390945	snRNA
ENSG00000175063	ENST00000243893	protein_coding
ENSG00000101166	ENST00000371033	protein_coding
ENSG00000175063	ENST00000352551	protein_coding
ENSG00000175063	ENST00000372568	protein_coding
ENSG00000239923	ENST00000493457	misc_RNA
ENSG00000167220	ENST00000300605	protein_coding
ENSG00000206617	ENST00000383890	misc_RNA
ENSG00000199570	ENST00000362700	snRNA
ENSG00000201287	ENST00000364417	misc_RNA
ENSG00000154723	ENST00000400099	protein_coding
ENSG00000175063	ENST00000405520	protein_coding
ENSG00000171448	ENST00000373656	protein_coding
ENSG00000171448	ENST00000373654	protein_coding
ENSG00000124103	ENST00000371328	protein_coding
ENSG00000167220	ENST00000590815	protein_coding
ENSG00000154723	ENST00000400094	protein_coding
ENSG00000167220	ENST00000591480	protein_coding
ENSG00000251745	ENST00000515936	snRNA
ENSG00000200026	ENST00000363156	snoRNA
ENSG00000167220	ENST00000590481	protein_coding
ENSG00000154723	ENST00000284971	protein_coding
ENSG00000238313	ENST00000459319	snoRNA
ENSG00000199803	ENST00000362933	snRNA
ENSG00000213714	ENST00000371325	protein_coding
ENSG00000167220	ENST00000588940	protein_coding
ENSG00000104047	ENST00000403028	protein_coding
ENSG00000154723	ENST00000457143	protein_coding
ENSG00000201180	ENST00000364310	snRNA
ENSG00000201136	ENST00000364266	snRNA
ENSG00000167220	ENST00000587388	protein_coding
ENSG00000154723	ENST00000400090	protein_coding
ENSG00000238494	ENST00000459182	snoRNA
ENSG00000167220	ENST00000592591	protein_coding
ENSG00000154723	ENST00000400087	protein_coding
ENSG00000154723	ENST00000400093	protein_coding
ENSG00000154723	ENST00000400093	protein_coding
ENSG00000154723	ENST00000400093	protein_coding
ENSG00000212170	ENST00000390868	snRNA
ENSG00000206812	ENST00000384085	snRNA
ENSG00000104047	ENST00000558653	protein_coding
ENSG00000200494	ENST00000363624	misc_RNA
ENSG00000104047	ENST00000559164	protein_coding
ENSG00000104140	ENST00000220507	protein_coding
ENSG00000104047	ENST00000560632	protein_coding
ENSG00000104047	ENST00000559405	protein_coding
ENSG00000088882	ENST00000380605	protein_coding
ENSG00000088882	ENST00000380605	protein_coding
ENSG00000104047	ENST00000251250	protein_coding
ENSG00000212165	ENST00000390863	snoRNA
ENSG00000104047	ENST00000329873	protein_coding
ENSG00000251955	ENST00000516146	snRNA
ENSG00000104047	ENST00000415425	protein_coding
ENSG00000238833	ENST00000458943	snRNA
ENSG00000140564	ENST00000268171	protein_coding
ENSG00000140564	ENST00000559353	protein_coding
ENSG00000140564	ENST00000560824	protein_coding
ENSG00000202260	ENST00000365390	misc_RNA
ENSG00000140157	ENST00000337451	protein_coding
ENSG00000140157	ENST00000398013	protein_coding
ENSG00000212555	ENST00000391253	snRNA
ENSG00000252725	ENST00000516916	snRNA
ENSG00000243274	ENST00000468302	misc_RNA
ENSG00000212232	ENST00000390930	snoRNA
ENSG00000140157	ENST00000539711	protein_coding
ENSG00000140157	ENST00000359727	protein_coding
ENSG00000140157	ENST00000560039	protein_coding
ENSG00000202093	ENST00000365223	snoRNA
ENSG00000087510	ENST00000201031	protein_coding
ENSG00000140157	ENST00000398014	protein_coding
ENSG00000206602	ENST00000383875	snoRNA
ENSG00000087510	ENST00000416606	protein_coding
ENSG00000271982	ENST00000607313	snoRNA
ENSG00000124203	ENST00000371030	protein_coding
ENSG00000087510	ENST00000544508	protein_coding
ENSG00000238390	ENST00000458922	snoRNA
ENSG00000206589	ENST00000383862	snRNA
ENSG00000264912	ENST00000582799	misc_RNA
ENSG00000252597	ENST00000516788	snRNA
ENSG00000154727	ENST00000354828	protein_coding
ENSG00000104142	ENST00000220509	protein_coding
ENSG00000207282	ENST00000384552	misc_RNA
ENSG00000200391	ENST00000363521	misc_RNA
ENSG00000154727	ENST00000400075	protein_coding
ENSG00000104142	ENST00000558474	protein_coding
ENSG00000138613	ENST00000560890	protein_coding
ENSG00000266720	ENST00000579715	misc_RNA
ENSG00000252635	ENST00000516826	snRNA
ENSG00000199719	ENST00000362849	misc_RNA
ENSG00000251992	ENST00000516183	snoRNA
ENSG00000206800	ENST00000384073	misc_RNA
ENSG00000101470	ENST00000372555	protein_coding
ENSG00000252139	ENST00000516330	snoRNA
ENSG00000201668	ENST00000364798	misc_RNA
ENSG00000101470	ENST00000372557	protein_coding
ENSG00000134049	ENST00000256433	protein_coding
ENSG00000252403	ENST00000516594	misc_RNA
ENSG00000138613	ENST00000261879	protein_coding
ENSG00000138613	ENST00000261879	protein_coding
ENSG00000138613	ENST00000380343	protein_coding
ENSG00000240663	ENST00000465317	misc_RNA
ENSG00000138613	ENST00000560353	protein_coding
ENSG00000266087	ENST00000580763	misc_RNA
ENSG00000128917	ENST00000249749	protein_coding
ENSG00000124205	ENST00000337938	protein_coding
ENSG00000124205	ENST00000311585	protein_coding
ENSG00000198326	ENST00000361033	protein_coding
ENSG00000124205	ENST00000371025	protein_coding
ENSG00000198326	ENST00000380585	protein_coding
ENSG00000243702	ENST00000494527	misc_RNA
ENSG00000221806	ENST00000408879	snRNA
ENSG00000124205	ENST00000395654	protein_coding
ENSG00000198326	ENST00000554164	protein_coding
ENSG00000243035	ENST00000493031	misc_RNA
ENSG00000124205	ENST00000371028	protein_coding
ENSG00000241690	ENST00000380593	protein_coding
ENSG00000011454	ENST00000373647	protein_coding
ENSG00000238996	ENST00000459125	snoRNA
ENSG00000011454	ENST00000402311	protein_coding
ENSG00000258713	ENST00000603872	protein_coding
ENSG00000215474	ENST00000425639	protein_coding
ENSG00000258713	ENST00000380589	protein_coding
ENSG00000215474	ENST00000400404	protein_coding
ENSG00000200686	ENST00000363816	misc_RNA
ENSG00000011454	ENST00000373643	protein_coding
ENSG00000188394	ENST00000373642	protein_coding
ENSG00000101144	ENST00000395863	protein_coding
ENSG00000101144	ENST00000395864	protein_coding
ENSG00000101144	ENST00000450594	protein_coding
ENSG00000180777	ENST00000358984	protein_coding
